Start Time,EventType,Drug Inside,Volume In Syringe,Is Filled?,Is Tagged?,Is Administered?,Is Trashed?,End Time,Notes
16:12:28:1802,New Task,Vecuronium,, ---,---,---,---,---,Prepare and administer 6 mL of Vecuronium
16:12:28:1807,Select Drug,Cefazolin,-,-,-,-,-,16:12:31:5923,
16:12:31:5923,Move Syringe,no,0.00,0,0,0,0,16:12:33:6142,
16:12:33:6142,Fill Syringe,Cefazolin,11,1,0,0,0,16:12:34:9562,
16:12:34:9562,Apply Lable,Cefazolin,11,1,1,0,0,16:12:35:7007,
16:12:35:7007,AdministerSyringe,Cefazolin,11,1,1,1,0,16:12:36:8272,
16:12:36:8278,Trash Syringe,Cefazolin,11,1,1,1,1,16:12:39:3202,
16:12:51:5288,New Task,Midazolam,, ---,---,---,---,---,Prepare and administer 8 mL of Midazolam
16:12:51:5288,Select Drug,Midazolam,-,-,-,-,-,16:12:54:8437,
16:12:54:8437,Move Syringe,no,0.00,0,0,0,0,16:12:55:9977,
16:12:55:9977,Fill Syringe,Midazolam,11,1,0,0,0,16:13:05:7436,
16:13:05:7436,Apply Lable,Midazolam,11,1,1,0,0,16:13:06:5382,
16:13:06:5382,AdministerSyringe,Midazolam,11,1,1,1,0,16:13:07:5489,
16:13:08:9762,New Task,Atropine,, ---,---,---,---,---,Prepare and administer 12 mL of Atropine
16:13:09:1416,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 4 mL of Lidocaine
16:13:07:5489,Trash Syringe,Midazolam,11,1,1,1,1,16:13:32:9503,
16:13:51:5025,New Task,Lidocaine,, ---,---,---,---,---,Prepare and administer 7 mL of Lidocaine
16:13:51:5025,Select Drug,Propofol,-,-,-,-,-,16:14:01:9565,
16:14:01:9565,Move Syringe,no,0.00,0,0,0,0,16:14:03:3242,
16:14:03:3242,Fill Syringe,Propofol,11,1,0,0,0,16:14:04:1534,
16:14:04:1534,Apply Lable,Propofol,11,1,1,0,0,16:14:04:9646,
16:14:04:9646,AdministerSyringe,Propofol,11,1,1,1,0,16:14:06:3894,
16:14:06:3894,Trash Syringe,Propofol,11,1,1,1,1,16:14:09:3167,
16:14:28:5495,New Task,Midazolam,, ---,---,---,---,---,Prepare and administer 5 mL of Midazolam

